Country/Other,Total Cases,New Cases,Total Deaths,New deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total cases/1M Pop,Deaths/1M POP,Total Tests,Tests/1M POP,Populations,Continents,%inc cases,%inc Deaths,%inc recovered
Maldives,186694,-1.0,316,-1.0,163687,-1.0,22691,25,345100.0,584.0,2213831,4092223,540985,Asia,-0.000535635853321478,-0.31645569620253167,-0.0006109220646722098
Namibia,172280,-1.0,4103,-1.0,167099,-1.0,1078,-1,65409.0,1558.0,1062663,403460,2633874,Africa,-0.0005804504295333179,-0.024372410431391666,-0.0005984476268559356
Uganda,171983,-1.0,3632,-1.0,100431,-1.0,67920,-1,3551.0,75.0,3012408,62198,48432863,Africa,-0.0005814528180110825,-0.027533039647577095,-0.0009957084963805997
Ghana,171889,-1.0,1462,-1.0,170425,-1.0,2,-1,5306.0,45.0,2541625,78456,32395450,Africa,-0.0005817707939426025,-0.06839945280437756,-0.0005867683731846854
Jamaica,156857,-1.0,3748,-1.0,0,0.0,0,-1,52547.0,1256.0,1183986,396633,2985094,North America,-0.0006375233492926678,-0.026680896478121666,
Cambodia,139094,-1.0,3056,-1.0,136037,-1.0,1,-1,8102.0,178.0,3091420,180062,17168639,Asia,-0.0007189382719599695,-0.032722513089005235,-0.0007350941288031932
Rwanda,133518,-1.0,1468,-1.0,132039,-1.0,11,-1,9817.0,108.0,6021981,442778,13600464,Africa,-0.0007489626866789496,-0.06811989100817438,-0.0007573519944864775
Cameroon,125379,-1.0,1974,-1.0,123280,-1.0,125,0,4492.0,71.0,1751774,62762,27911548,Africa,-0.0007975817321880059,-0.050658561296859174,-0.0008111615833874108
Malta,121405,-1.0,883,-1.0,120122,-1.0,400,-1,273414.0,1989.0,2168199,4882968,444033,Europe,-0.0008236893043943824,-0.11325028312570783,-0.0008324869715788948
Barbados,110575,-1.0,648,-1.0,108647,-1.0,1280,-1,383910.0,2250.0,814159,2826715,288023,North America,-0.0009043635541487678,-0.15432098765432098,-0.0009204119764006369
Angola,107323,-1.0,1937,-1.0,103419,-1.0,1967,-1,3064.0,55.0,1499795,42818,35027343,Africa,-0.000931766722883259,-0.05162622612287042,-0.0009669403107746159
Channel Islands,101717,-1.0,228,-1.0,101321,-1.0,168,-1,576421.0,1292.0,1252808,7099551,176463,Europe,-0.0009831198324763805,-0.43859649122807015,-0.0009869622289554979
DRC,99338,-1.0,1468,-1.0,84489,-1.0,13381,-1,1043.0,15.0,846704,8890,95240792,Africa,-0.001006664116450905,-0.06811989100817438,-0.0011835860289505142
French Guiana,98041,-1.0,420,-1.0,11254,-1.0,86367,6,312065.0,1337.0,651257,2072951,314169,South America,-0.0010199814363378587,-0.2380952380952381,-0.00888572951839346
Malawi,89535,-1.0,2686,-1.0,0,0.0,0,0,4437.0,133.0,624784,30959,20180839,Africa,-0.0011168816663874462,-0.03723008190618019,
Senegal,89053,-1.0,1971,-1.0,87024,-1.0,58,-1,5044.0,112.0,1146543,64946,17653671,Africa,-0.0011229267964021426,-0.050735667174023336,-0.001149108291965435
